,title,description,datetime,category,agency
0,قیمت طلا افزایش یافت,"
قیمت طلا امروز (سه‌شنبه) با توقف رشد دلار افزایش یافت اما به دلیل انتظارات برای تشدید سیاست‌های بیشتر توسط فدرال رزرو آمریکا در تلاش‌هایش برای فرونشاندن تورم فزاینده، قیمت‌ها نزدیک به پایین‌ترین حد در ۲.۵ سال گذشته باقی ماند.
",2022-10-20 19:06:53,اخبار ارزی,نبض بورس
1,قیمت سکه و دلار ریزش کرد,"
اقتصاد نیوز : قیمت دلار عصر امروز پنجشنبه ۲۸ مهر ماه در تهران یک پله دیگر پایین آمد و از مرز مقاومتی ۳۲ هزار و ۸۰۰ تومان فاصله بیشتری گرفت.
",2022-10-20 19:06:48,اخبار ارزی,دنیای اقتصاد
2,قیمت لیر ترکیه در آخرین روز هفته کاهش یافت,"
جدیدترین قیمت لیر ترکیه امروز ۲۸ مهر ۱۴۰۱ را می‌توانید در گزارش زیر مشاهده کنید.
",2022-10-20 18:02:01,اخبار ارزی,نبض بازار
3,پوند از دلار پیشی گرفت؟,"
ارزش پوند افزایش یافته است و هزینه های استقراض دولت کاهش یافته است چراکه سرمایه گذاران از خبر جرمی هانت صدراعظم در مورد لغو اکثر اقدامات مالیاتی کوچک بودجه استقبال کردند.
",2022-10-20 18:01:54,اخبار ارزی,خبر آنلاین
4,واکنش بازار ارز به ادعاهای تازه گروسی درباره توافق هسته‌ای,"
بازار ارز پس از دو روز کاهش قیمت، مسیر افزایشی به خود گرفت.
",2022-10-20 17:46:35,اخبار ارزی,ایران اکونومیست
5,چرا همه طرح های صرفه جویی انرژی شکست خوردند؟ / چراغ سبز قالیباف به اصلاح قیمت حامل های انرژی,"
سخنان هفته گذشته رییس مجلس درباره هدررفت سالانه ۶۰ تا ۸۰میلیارد دلار در قالب یارانه سوخت، تاکیدی مجدد بر لزوم اصلاحات در نظام یارانه حامل‌های انرژی از سوی بالاترین مقام قانون‌گذاری کشور بود.
",2022-10-20 16:26:29,اخبار ارزی,اقتصاد آنلاین
6,اظهارات مهم رییس بانک مرکزی درباره بازار ارز,"
رئیس کل بانک مرکزی گفت: امسال حجم عرضه ارز در بازار بسیار خوب است هم در حوزه حواله و هم اسکناس وضعیت بسیار خوبی داریم.با عرضه هایی که انجام می دهیم آرامش حاکم بر بازار حفظ خواهد شد و تداوم خواهد داشت.
",2022-10-20 16:26:20,اخبار ارزی,سایت طلا
7,قیمت طلا در مسیر کاهش /شاخص دلار کاهش یافت,"
طلا نزدیک به پایین ترین سطح 3 هفته اخیر خود رسیده است. زیرا بازدهی اوراق خزانه داری آمریکا بالاتر رفته و دلیل برای افزایش نرخ بهره بیشتر شده است.
",2022-10-20 14:42:09,اخبار ارزی,اقتصاد نیوز
8,مزدا CX-30 مدل ۲۰۲۳ با مصرف سوخت کمتر عرضه می‌شود,"
",2022-10-20 14:31:52,اخبار ارزی,دیجی کالا مگ
9,دلار در معاملات امروز چقدر قیمت خورد؟ | جدیدترین تغییرات قیمتی دلار و یورو ؛ ۲۸ مهر ۱۴۰۱,"
قیمت فروش دلار امروز در صرافی‌های بانکی ۲۸ هزار و ۹۳۴ تومان اعلام شد. دلار توافقی نیز در قیمت ۳۱ هزار و ۳۷۸ تومان معامله شد.
",2022-10-20 13:41:47,اخبار ارزی,همشهری آنلاین
10,زنگ خطر برای صادرات پسته ایران به صدا درآمده است/ مقصر، سیاست‌های غلط است به آب و هوا نسبت ندهیم!,"
رئیس هیأت مدیره انجمن پسته ایران معتقد است؛ زنگ خطر برای صادرات پسته ایران به صدا درآمده است و دلیل اصلی آن اتخاذ سیاست‌های غلط و اصرار بر ادامه آن ها در حوزه تجارت خارجی است.
",2022-10-20 12:51:56,اخبار ارزی,اقتصاد آنلاین
11,قیمت دلار در بازار متشکل امروز 28 مهر 1401 ثبات نرخ دلار در بازار رسمی,"
اقتصادنیوز: بازار متشکل امروز شاهد ثبات قیمت دلار بود .
",2022-10-20 12:11:32,اخبار ارزی,اقتصاد نیوز
12,گوشی‌های سری ردمی نوت ۱۲ تا ۱۱ روز دیگر معرفی می‌شوند,"
",2022-10-20 11:31:49,اخبار ارزی,دیجی کالا مگ
13,آنر پلی ۴۰ پلاس با باتری غول‌پیکر و قیمت ۱۶۵ دلار معرفی شد,"
",2022-10-20 11:31:47,اخبار ارزی,دیجی کالا مگ
14,صدور احکام قضایی برای مدیران سابق بانک کشاورزی,"
اطلاعات ۲۷ میلیون دلار از تعهدات ارزی مشتریان بانک کشاورزی تعیین تکلیف نشده است.
",2022-10-20 11:26:28,اخبار ارزی,نبض بازار
15,مُسکن کوتاه مدت برای دلار,"
اقتصاد نیوز : نگاهی به قیمت دلار در گذشته نشان می دهد هر زمانی که بازار ارز تهران با تصمیم مقامات آمریکایی (در بحث تحریم ها، برجام و...) روبرو شده قیمت دلار آرایش صعودی به خود گرفته است.
",2022-10-20 11:16:39,اخبار ارزی,دنیای اقتصاد
16,قیمت دلار و یورو در صرافی ملی 28 مهر 1401,"
نرخ ارز در صرافی ملی امروز پنج شنبه اعلام شد و بر این اساس قیمت دلار و یورو نسبت به روز گذشته ثابت ماند.
",2022-10-20 11:06:50,اخبار ارزی,سایت طلا
17,سقوط آزاد ین در برابر دلار,"
دلار آمریکا در برابر ین به افزایش سرسام آور خود ادامه می‌دهد. به طوری که در حال حاضر به سطح 150 نزدیک شده است.
",2022-10-20 10:45:31,اخبار ارزی,اخبار ویژه
18,جزئیات مهم برای متقاضیان عرضه اولیه روز شنبه,"
امروز مطالبی همچون قیمت لحظه‌ای دلار و یورو در بازار چقدر است؟، بهای بیت کوین به یک میلیون دلار می‌رسد؟، بیشترین حجم معاملات بازار از آن این نماد، کدام بازار سود بیشتری داده است؟، ارزش شرکت‌های سهام عدالت چقدر است؟، جزییات افزایش سرمایه چند شرکت بورسی و فرابورسی، خبری مهم برای سهامداران ذوب، تحلیل وتوس | سیگنال صعود صادر شد؟؛ در سایت نبض بورس قرار گرفته است.
",2022-10-20 10:41:59,اخبار ارزی,تابناک
19,تکنسین اسپیس‌ایکس در پی سانحه‌ی تست موشک به کما رفت,"
",2022-10-20 10:32:06,اخبار ارزی,دیجی کالا مگ
20,آیفون SE 4 با طراحی مشابه آیفون XR راهی بازار خواهد شد,"
",2022-10-20 10:32:02,اخبار ارزی,دیجی کالا مگ
21,کاهش ۸۲ درصدی سرمایه‌گذاری خارجی در ایران چگونه رخ داد؟,"
براساس گزارش منتشرشده از سوی وزارت صمت در شش‌ماهه نخست سال ۱۴۰۱ حجم سرمایه‌گذاری خارجی نسبت به مدت مشابه سال قبل ۸۲.۷ درصد کاهش یافته است، این گزارش نشان می‌دهد در شش‌ماه گذشته، ۷۳ مورد سرمایه‌گذاری خارجی به ارزش ۳۸۲ میلیون و ۴۰۰ هزار دلار در بخش صنعت، معدن و تجارت تصویب شده که از لحاظ تعداد ۷.۵ و از نظر ارزش ۸۲.۷ درصد نسبت به مدت مشابه سال قبل کاهش داشته است.
",2022-10-20 10:32:00,اخبار ارزی,اقتصاد 24
22,واکنش بازار دلار به تحریم های جدید /پیش بینی قیمت دلار امروز,"
اقتصادنیوز: بازار ارز تهران در روزهای اخیر رنگ و بوی تحریم به خود گرفته است. معامله گران روند قیمت دلار در بازار ۲۸ مهر ماه را چگونه پیش بینی کرده اند؟
",2022-10-20 10:26:18,اخبار ارزی,اقتصاد نیوز
23,جفت ارز پوند/دلار پس از عقب‌نشینی لیز تراس,"
در حالی که جرمی هانت «وزیر امور خارجه» قصد دارد اعتماد را به بازار بازگرداند، لیز تراس «نخست‌وزیر بریتانیا» با مشکلات بزرگتری دست و پنجه نرم می کند.
",2022-10-20 10:06:57,اخبار ارزی,اخبار ویژه
24,هشدار روزنامه اصولگرا درباره ورود شرکت های اسرائیلی به بازار ایران,"
روزنامه جوان : منابع اسرائیلی پیش‌بینی می‌کنند تا پایان سال میلادی جاری بیش از ۲ میلیارد دلار با امارات تجارت کنند که با وجود ارتباطات گسترده تجاری ایران و امارات لازم است نهاد‌های اقتصادی، امنیتی و سیاسی کشور برای صیانت از بازرگانان ایرانی و آسیب‌های همکاری با شرکت‌های اسرائیلی مراقبت‌های جدی‌تری را اعمال کنند.
",2022-10-20 09:41:39,اخبار ارزی,دنیای اقتصاد
25,هواوی از تبلت میت‌پد C5e برای بازار جهانی رونمایی کرد,"
",2022-10-20 09:31:52,اخبار ارزی,دیجی کالا مگ
26,بازار طلای جهانی یخ زد!,"
قیمت طلا امروز (پنجشنبه) تحت فشار افزایش دلار و بازده خزانه‌داری آمریکا در پایین‌ترین سطح سه هفته‌ای خود باقی ماند و نگرانی‌هایی هست که فدرال رزرو با افزایش شدید نرخ بهره ادامه خواهد داد.
",2022-10-20 09:31:50,اخبار ارزی,افکار نیوز
27,دلار مانع صعود تسلا شد!,"
شرکت خودروسازی تسلا با اشاره به رشد روزافزون دلار آمریکا، همراه با تنگناهای تولید و تحویل، فروش سه ماهه سوم را گزارش داد که کمتر از برآوردهای وال‌استریت بود.
",2022-10-20 09:17:03,اخبار ارزی,افکار نیوز
28,آژیر خطر در بازار سکه /پیش بینی قیمت سکه 28 مهر,"
اقتصادنیوز: دو عامل مهم در پیش بینی قیمت سکه توجه به روند حرکتی قیمت دلار و طلا در بازار جهانی است نرخ دلار دیروز ثبات را تجربه کرد و طلا ریزش. با این حال سکه بازان روند بازار سکه برای امروز ۲۸ مهر را چگونه پیش بینی کرده اند؟
",2022-10-20 09:11:41,اخبار ارزی,اقتصاد نیوز
29,قیمت بیت کوین و ارز‌های دیجیتال امروز پنجشنبه ۲۸ مهر ۱۴۰۱ + جدول,"
قیمت بیت کوین، اتریوم، تتر و سایر ارز‌های دیجیتال (رمزارزها) به دلار امروز پنجشنبه ۲۸ مهر ۱۴۰۱ را می‌توانید در جدول زیر مشاهده نمایید. در ضمن به ساعت بروزرسانی این نرخ‌ها در بالای جدول دفت فرمایید.
",2022-10-20 09:02:03,اخبار ارزی,اقتصاد 24
