,title,description,datetime,category,agency
0,قیمت طلا افزایش یافتفلزات گرانبها&nbsp;,"
قیمت طلا با 6 دلار و 25 سنت افزایش به 1671.14 دلار در هر اونس رسید.
",2022-10-20 19:06:45,اخبار طلا و سکه,ارانیکو
1,دلار پایین آمد، درهم دنده معکوس زد /قیمت سکه ریزش کرد,"
اقتصادنیوز : نرخ حواله درهم در بازار امروز دنده معکوس زد و به کانال 8 هزار تومان برگشت و به تبع آن قیمت دلار یک پله پایین آمد. قیمت طلا و سکه هم امزوط ریزش کرد.
",2022-10-20 18:11:49,اخبار طلا و سکه,اقتصاد نیوز
2,نیم سکه ۵۰ هزار تومان ارزان شد | ادامه کاهش قیمت ها در بازار طلا و سکه | جدول قیمت طلا و سکه امروز ۲۸ مهر ۱۴۰۱,"
قیمت هر قطعه سکه تمام‌ بهار آزادی طرح جدید (امامی) به ۱۴میلیون و ۸۴۳ هزار تومان رسید.
",2022-10-20 17:31:42,اخبار طلا و سکه,همشهری آنلاین
3,آخرین قیمت انس طلا؛ ۱۶۳۳ دلار,"
قیمت انس طلا در بازار جهانی با تغییراتی مواجه شده است.
",2022-10-20 17:06:46,اخبار طلا و سکه,مهر
4,قیمت دلار امروز ۲۸ مهر ماه ۱۴۰۱ / دلار در پایان هفته چند؟,"
قیمت دلار برای تاریخ ۲۸ مهر ماه ۱۴۰۱ اعلام شد. قیمت خرید دلار در صرافی ملی ۲۸۶۴۶ تومان است.
",2022-10-20 17:06:37,اخبار طلا و سکه,اقتصاد آنلاین
5,اقدم شربیانی رئیس اتحادیه طلا و جواهر تبریز شد+ اسامی هیات مدیره,"
انتخابات طلا و جواهر تبریز امروز 28 مهر 1401 از ساعت ۹ الی ۱۵ در اتاق اصناف تبریز برگزار شد.
",2022-10-20 16:31:53,اخبار طلا و سکه,سایت طلا
6,ادامه روند کاهشی قیمت طلا و سکه در ایران +جدول,"
قیمت طلا و سکه در چند روز گذشته در بازار ایران روند کاهشی داشته است.
",2022-10-20 15:51:38,اخبار طلا و سکه,سایت طلا
7,طرح اخذ مالیات عایدی سرمایه قبل از تصویب نیازمند بازنگری جدی است,"
در نشست علمی و تخصصی مطرح شد: باید به بستر‌های اجتماعی و اقتصادی افزایش پایه‌های مالیاتی جدید توجه ویژه شود و به گونه‌ای اقدام نکنیم که هزینه اجرای طرح مالیات بر عایدی سرمایه از عواید اقتصادی و اجتماعی حاصل از آن پیشی بگیرد.
",2022-10-20 15:42:23,اخبار طلا و سکه,خبرگزاری دانشجو
8,افت و خیز بازار طلا و سکه در هفته‌ای که گذشت,"
عضو اتحادیه طلا و جواهر تهران معتقد است بازار طلا در هفته جاری شرایطی کم‌نوسان را پشت سر گذاشته و به دلیل نوسان‌های اندک نرخ دلار و اونس جهانی هفته‌ای کم‌تغییر و کم تنش در بازار طلا و سکه سپری شد.
",2022-10-20 15:12:08,اخبار طلا و سکه,نبض بازار
9,ارزش طلا نزدیک به پایین‌ترین سطح ۳ هفته اخیر,"
اقتصاد نیوز : هر اونس طلا ۱۶۲۷.۹۸ دلار بود. اما در روز جاری این فلز گرانبها به پایین ترین حد خود از ۲۸ سپتامبر یعنی ۱۶۲۱.۲۰ دلار رسید. قیمت طلای آمریکا با ۰.۱ درصد کاهش به ۱۶۳۲.۷۰ دلار رسید.
",2022-10-20 15:12:00,اخبار طلا و سکه,دنیای اقتصاد
10,قیمت ربع سکه بهار آزادی پنجشنبه ۲۸ مهر ۱۴۰۱,"
قیمت ربع سکه بهار آزادی در آخرین روز هفته به پنج میلیون و ۱۰۰ هزار رسید و نسبت به دیروز ۵۰ هزار تومان کاهش پیدا کرد
",2022-10-20 14:41:45,اخبار طلا و سکه,فرارو
11,نرخ ارز، دلار، سکه، طلا و یورو ۲۸ مهر ۱۴۰۱,"
دلار آخرین روز هفته در صرافی ملی ۲۸ هزار و ۹۳۵ تومان عرضه می‌شود. قیمت طلا امروز پنجشنبه ۲۸ مهر به یک میلیون و ۳۳۷ هزار تومان رسید
",2022-10-20 14:02:56,اخبار طلا و سکه,فرارو
12,قیمت جهانی طلا امروز ۲۸ مهر ۱۴۰۱ / اونس روند کاهش در پیش گرفته,"
قیمت هر اونس طلا امروز پنجشنبه ۲۸ مهر به ۱۶۲۲ دلار و ۱۰ سنت رسید.
",2022-10-20 13:26:42,اخبار طلا و سکه,نبض بازار
13,قیمت یورو ، طلا و سکه امروز 28 مهر 1401/ یورو کانال عوض کرد,"
اقتصادنیوز : قیمت یوروز در بازار امروز کانال عوض کرد.
",2022-10-20 12:51:54,اخبار طلا و سکه,اقتصاد نیوز
14,کاهش شدید قیمت طلا,"
آخرین قیمت انواع طلا در بازار امروز ۲۸ مهر ۱۴۰۱ را می‌توانید در گزارش زیر مشاهده کنید.
",2022-10-20 12:51:48,اخبار طلا و سکه,نبض بازار
15,قیمت طلا و دلار امروز پنجشنبه 28 مهر 1401/ کاهش قیمت طلا و دلار در تهران,"
اقتصادنیوز: امروز قیمت طلا 18 عیار و قیمت دلار کاهش یافت.
",2022-10-20 12:16:31,اخبار طلا و سکه,اقتصاد نیوز
16,آیا نفت به روند نزولی باز می‌گردد؟,"
در حالی که بازار همچنان انتظار افزایش بیشتر نرخ بهره را دارد، به دلیل کاهش عرضه و کندی رشد جهانی، قیمت نفت امروز رقم مشخصی را ثبت نکرد.
",2022-10-20 11:17:37,اخبار طلا و سکه,اخبار ویژه
17,قیمت طلای جهانی بر مدار نزولی,"
قیمت طلا امروز (پنجشنبه) تحت فشار افزایش دلار و بازده خزانه‌داری آمریکا در پایین‌ترین سطح سه هفته‌ای خود باقی ماند و نگرانی‌هایی هست که فدرال رزرو با افزایش شدید نرخ بهره ادامه خواهد داد.
",2022-10-20 10:46:43,اخبار طلا و سکه,اقتصاد آنلاین
18,ریسک خرید کدام قطعه سکه بالاتر است؟,"
حباب سکه بهار آزادی طرح جدید از دو میلیون تومان فراتر رفت.
",2022-10-20 10:16:30,اخبار طلا و سکه,سایت طلا
19,قیمت سکه در سرازیری افتاد,"
اقتصاد نیوز : قیمت سکه در ایران تحت تاثیر چند متغیر مهم است که مهم ترین آن قیمت دلار و قیمت اونس طلاست.
",2022-10-20 10:16:28,اخبار طلا و سکه,دنیای اقتصاد
20,تداوم روزهایی بد برای طلا,"
طلا شش ماه متوالی است که در روند نزولی قرار دارد و بازدهی هفتمین ماه یعنی ماه اکتبر که اکنون 20 روز از آن می گذرد نیز نزدیک به منفی 2 درصد است. طلا طی این مدت از سقف 2 هزار دلاری تاکنون که در حال از دست دادن مرز 1600 دلاری است نزول کرده است.
",2022-10-20 10:01:51,اخبار طلا و سکه,سایت طلا
21,انتظار کاهش بیشتر در بازار طلا,"
در حالی که شاخص دلار آمریکا به بالاترین سطح خود رسیده است، طلا امروز از پائین‌ترین سطح سه هفته‌ی اخیر یک حرکت بازگشتی را منعکس کرد.
",2022-10-20 09:50:33,اخبار طلا و سکه,اخبار ویژه
22,جدیدترین قیمت انواع سکه پارسیان امروز ۲۸ مهر ۱۴۰۱,"
در جدول زیر جدیدترین قیمت سکه پارسیان در انواع سوت با عیار ۷۵۰ را مشاهده کنید.
",2022-10-20 08:16:38,اخبار طلا و سکه,نبض بازار
23,نگرانی در بازار دلار، فشار در بازار سکه /بازارساز در کمین است,"
در دو روز گذشته دلار تغییر قیمتی را تجربه نکرده است ولی قیمت سکه امامی با فشار اونس کاهشی شده است ولی با این وجود، حباب سکه امامی همچنان در ناحیه پر ریسک بالای ۱۵ درصد قرار دارد که موجب تعدیل قیمت های پیشنهادی برای خرید سکه امامی شده است.
",2022-10-20 08:11:33,اخبار طلا و سکه,اقتصاد نیوز
24,آخرین نرخ حباب سکه امروز ۲۸ مهر ۱۴۰۱ + جدول,"
وضعیت حباب انواع سکه (امامی، بهار آزادی، نیم‌سکه، ربع‌سکه و سکه گرمی) در معاملات امروز بازار سکه در جدول زیر گردآوری شده است.
",2022-10-20 07:16:28,اخبار طلا و سکه,نبض بازار
25,ریزش قیمت طلا /اونس جهانی هر روز ارزانتر از دیروز,"
طلا هفته گذشته و با انتشار گزارش تورم آمریکا طی یک هفته بیش از 3 درصد از ارزش خود را از دست داده بود. تورم آمریکا بیشتر از چیزی بود که پیش بینی می شد و هنوز هم در سطح بالایی قرار دارد.
",2022-10-20 06:46:24,اخبار طلا و سکه,اقتصاد نیوز
26,پیش بینی قیمت طلا و سکه فردا ۲۸ مهر ۱۴۰۱,"
امروز هر گرم طلا ۱۸ عیار مانند روز قبل با کاهش قیمت روبرو شد، بطوری که هر گرم طلا ۱۸ عیار که روز قبل تا ۱,۳۴۲,۷۰۰ تومان رسیده بود، امروز چهارشنبه ۲۷ مهر ۱۴۰۱ با کاهش ۰.۰۶ درصدی به ۱,۳۴۱,۸۰۰ تومان رسید.
",2022-10-19 23:46:30,اخبار طلا و سکه,نبض بازار
27,قیمت دلار امروز ۲۷ مهر ماه ۱۴۰۱ / افزایش ۱۰ تومانی دلار صرافی ملی,"
قیمت دلار برای تاریخ ۲۷ مهر ماه ۱۴۰۱ اعلام شد. قیمت خرید دلار در صرافی ملی ۲۸۶۴۶ تومان است.
",2022-10-19 17:16:55,اخبار طلا و سکه,اقتصاد آنلاین
28,موانعی بر سر راه صعود نفت,"
گرچه قیمت نفت امروز توانست افزایش یابد، اما عواملی همچون رشد تقاضای چین و همچنین کاهش قیمت گاز، از افزایش فراینده‌ی آن ممانعت کرد.
",2022-10-19 16:47:22,اخبار طلا و سکه,اخبار ویژه
29,سکه امامی چند شد؟ ؛ ادامه کاهش قیمت‌ها در بازار طلا و سکه | جدول قیمت طلا و سکه امروز ۲۷ مهر ۱۴۰۱,"
قیمت هر قطعه سکه تمام‌ بهار آزادی طرح جدید (امامی) به ۱۴میلیون و ۸۹۹ هزار تومان رسید.
",2022-10-19 16:16:32,اخبار طلا و سکه,همشهری آنلاین
30,قیمت جهانی طلا امروز ۲۷ مهر ۱۴۰۱ / کاهش دوباره اونس,"
قیمت هر اونس طلا امروز چهارشنبه ۲۷ مهر به ۱۶۴۶ دلار و ۱۱ سنت رسید.
",2022-10-19 14:16:35,اخبار طلا و سکه,نبض بازار
31,خط قرمز قیمت دلار در تهران /طلا و سکه صعودی شدند,"
اقتصادنیوز : بازار امروز شاهد افزایش قیمت دلار و قیمت سکه بود .
",2022-10-19 14:16:29,اخبار طلا و سکه,اقتصاد نیوز
32,طلا در محدوده‌ی نوسانی محدود,"
از آنجا که ریسک‌پذیری در بازار نتوانسته از طلا پشتیبانی کند، فلز گرانبها در محدوده‌ی خاصی در نوسان است.
",2022-10-19 13:58:30,اخبار طلا و سکه,اخبار ویژه
33,قیمت سکه و طلا امروز چهارشنبه ۱۴۰۱/۷/۲۷,"
امروز در بازار آزاد تا این لحظه قیمت طلای ۱۸عیار هر گرم یک میلیون و ۳۴۳ هزار تومان و قیمت سکه تمام‌بهار آزادی طرح جدید ۱۴میلیون و ۹۵۰ هزار تومان است.
 ",2022-10-19 13:16:51,اخبار طلا و سکه,خبرگزاری دانشجو
34,قیمت طلای دست دوم امروز ۲۷ مهر ۱۴۰۱,"
آخرین قیمت انواع طلا در بازار امروز ۲۷ مهر ۱۴۰۱ را می‌توانید در گزارش زیر مشاهده کنید.
",2022-10-19 13:16:46,اخبار طلا و سکه,نبض بازار
35,۲ سناریوی پیشروی بازار دلار,"
رشد کم اونس و کاهش کم دلار در روز قبل یکدیگر را خنثی کردند و ارزش ذاتی سکه امامی در کانال ۱۲ میلیون و ۷۰۰ هزار تومانی باقی ماند. ماندگاری ارزش ذاتی سکه امامی در محدوده فوق مانع از کاهش قیمت سکه امامی نشد و پس از آنکه دو روز متوالی دلار کاهش یافت سکه امامی هم به دنبال دلار به پله آخر کانال ۱۴ میلیونی برگشت.
",2022-10-19 13:02:57,اخبار طلا و سکه,اقتصاد 24
